686	686	686	686	686	686	686	686	686	686	686	686	686	686	686	686	686	686
-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	715	-1	-1	-1
-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	715	657	658	-1
-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
-1	657	658	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
629	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	8	9
-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	37	38
8	9	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	8	66	38
37	38	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	37	95	38
37	67	9	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	37	95	38
37	95	38	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	8	66	95	38
262	261	262	261	262	261	262	261	262	261	262	261	262	261	262	261	262	261
291	290	291	290	291	290	291	290	291	290	291	290	291	290	291	290	291	290
290	291	290	291	290	291	290	291	290	291	290	291	290	291	290	291	290	291
