# list of object assets to load in this scene
[ASSETS]
mario.txt
coin.txt
platform.txt
brick.txt
BrickPiece.txt
Goomba.txt
QuestionBlock.txt
Mushroom.txt
Leaf.txt
Koopa.txt
Button.txt
Pipe.txt
Plain.txt
FireBullet.txt
Hud.txt
#

[MAPS]
1	Resources\Maps\World_1_1_BackLayer.txt	Resources\Maps\World_1_1_Shade.txt	Resources\Maps\TilesetConfig_1_1.txt	Resources\Maps\World_1_1.png	

[OBJECTS]
# type	x	y	extra_settings per object type
# type: 0 = Mario , 1 = Brick, 2 = Goomba, 3 = Koopas
# See OBJECT_TYPE constants in AssetIDs.h

# MARIO
0	2240	320
#0	2240	100
#0	2080	600

# GOOMBA
2	224	400	0
2	528	400	0
2	832	384	0
2	880	384	0
2	944	384	2
2	500	350	0


# KOOPA
3	524	350	2
#3	524	350	1

3	1312	288	1
3	1360	288	1
3	1408	288	1

3	1456	352	0

3	2080	364	2

# COIN
4	1072	320	0
4	1104	288	0
4	1136	256	0
4	1168	224	0
4	1200	192	0

4	1312	80	0
4	1328	80	0
4	1344	80	0

4	1456	112	0
4	1472	112	0

4	1520	128	0
4	1536	128	0
4	1552	128	0
4	1568	128	0

4	1600	112	0
4	1616	112	0
4	1632	112	0
4	1648	112	0

4	1680	144	0

4	1712	112	0
4	1728	128	0
4	1776	96	0
4	1808	128	0


4	2160	512	0
4	2176	496	0
4	2192	496	0
4	2208	512	0
4	2208	528	0
4	2176	544	0
4	2192	544	0
4	2208	560	0
4	2208	576	0
4	2176	592	0
4	2192	592	0
4	2160	576	0


#PLAIN
7	360	373	2

#PIPE
9	360	376	0

9	1784	392	0
9	1848	376	0

9	2248	168	1


#QUESTION BLOCK
6	176	352	0
6	192	352	0
6	224	304	0

6	240	304	1

6	416	320	0
6	656	384	2
6	704	352	0
6	1456	368	2

#TRANSPARENT BLOCK
8	608	368
8	496	368

8	2060	368	
8	2100	368

#BRICK
1	1936	400	0
1	1952	400	0
1	1968	400	0
1	1984	400	0
1	2000	400	0
1	2016	400	0
1	2032	400	0

1	1952	384	0
1	1968	384	0
1	1984	384	0
1	2000	384	0
1	2016	384	0

1	1968	368	0
1	1984	368	0
1	2000	368	0
1	2016	368	1

1	2080	400	0
1	2096	400	0
1	2080	384	0

#Platform
#Game Platform: if we change cell height, the position will increase half of addition
5	-16	416	16	16	40	60000	60000	60000	0

5	624	408	16	32	29	60000	60000	60000	0

5	1152	416	16	16	21	60000	60000	60000	0

5	1488	336	16	16	2	60000	60000	60000	0

5	1520	416	16	16	5	60000	60000	60000	0
#Stair
5	1552	400	16	16	3	60000	60000	60000	0
5	1568	384	16	16	2	60000	60000	60000	0
5	1584	368	16	16	1	60000	60000	60000	0

5	1648	416	16	16	36	60000	60000	60000	0
#Stair
5	1648	400	16	16	3	60000	60000	60000	0
5	1648	384	16	16	2	60000	60000	60000	0
5	1648	368	16	16	1	60000	60000	60000	0

5	2240	416	16	16	36	60000	60000	60000	0
#Underground
5	1953	552	16	192	8	60000	60000	60000	0
5	2080	632	16	32	16	60000	60000	60000	0
5	2336	552	16	192	8	60000	60000	60000	0
5	2288	568	16	96	3	60000	60000	60000	0
5	2208	608	16	16	5	60000	60000	60000	0
5	2224	592	16	16	4	60000	60000	60000	0
5	2240	576	16	16	3	60000	60000	60000	0
5	2256	560	16	16	2	60000	60000	60000	0
5	2272	544	16	16	1	60000	60000	60000	0
5	2112	464	16	16	12	60000	60000	60000	0

#Pipe
5	352	384	16	48	2	60000	60000	60000	0
5	1776	392	16	32	2	60000	60000	60000	0
5	1840	384	16	48	2	60000	60000	60000	0
5	2240	384	16	48	2	60000	60000	60000	0
5	2304	392	16	32	2	60000	60000	60000	0
5	2240	240	16	176	2	60000	60000	60000	3

5	2080	472	16	32	2	60000	60000	60000	0
5	2304	472	16	32	2	60000	60000	60000	0

#Cloud
5	1392	192	16	16	4	60000	60000	60000	0
5	1472	176	16	16	14	60000	60000	60000	0

#Ghost Platform: a surface that can go/jump through
5	240	368	16	16	3	60000	60000	60000	1
5	272	336	16	16	3	60000	60000	60000	1
5	400	368	16	16	5	60000	60000	60000	1
5	464	336	16	16	4	60000	60000	60000	1
5	512	304	16	16	4	60000	60000	60000	1
5	512	384	16	16	6	60000	60000	60000	1

5	1248	384	16	16	7	60000	60000	60000	1
5	1280	352	16	16	7	60000	60000	60000	1
5	1312	320	16	16	7	60000	60000	60000	1

5	2128	368	16	16	3	60000	60000	60000	1
5	2160	272	16	16	3	60000	60000	60000	1

#Sky
5	1296	144	16	16	4	60000	60000	60000	1


#Death Hole
5	1088	432	16	16	4	60000	60000	60000	2
5	1488	432	16	16	2	60000	60000	60000	2
5	1600	432	16	16	3	60000	60000	60000	2
5	2224	432	16	16	1	60000	60000	60000	2

#Portal 
50	2240	192	2272	208	2081	496	5
50	2304	480	2336	496	2304	352	5



11	0	0	999

12	0	0	10
12	0	0	10
12	0	0	10
12	0	0	10
12	0	0	10
12	0	0	10
12	0	0	11

12	0	0	0
12	0	0	0

12	0	0	0
12	0	0	0

12	0	0	0
12	0	0	0
12	0	0	0
12	0	0	0
12	0	0	0
12	0	0	0
12	0	0	0

12	0	0	0
12	0	0	0
12	0	0	0
