# id	left	top	right	bottom	texture_id
[SPRITES]
#####  TAIL ###############
#IDLE
13121	79	142	100	169	0
13111	79	175	100	202	0

#WALKING RIGHT
13222	104	142	125	169	0
13223	128	142	151	169	0

#WALKING LEFT
13212	104	175	125	202	0
13213	128	175	151	202	0

#RUNNING RIGHT
13321	360	142	383	169	0
13322	387	142	410	169	0
13323	414	142	437	169	0

#RUNNING LEFT
13311	360	175	383	202	0
13312	387	175	410	202	0
13313	414	175	437	202	0

#JUMP WALK RIGHT & LEFT
13417	256	142	279	169	0
13413	256	175	279	202	0
		
#JUMP RUN RIGHT & LEFT
13427	441	142	464	169	0
13428	468	142	491	169	0
13429	495	142	518	169	0

13423	441	175	464	202	0
13424	468	175	491	202	0
13425	495	175	518	202	0

#SIT RIGHT & LEFT 
13521	522	152	543	169	0
13511	522	185	543	202	0

#BRACE RIGHT & LEFT 
13621	155	140	170	169	0
13611	155	173	170	202	0

#LANDING RIGHT & LEFT
13721	283	142	306	169	0
13722	309	142	332	169	0
13723	335	142	356	169	0

13711	283	175	306	202	0
13712	309	175	332	202	0
13713	335	175	356	202	0

#KICK RIGHT & LEFT
13821	641	142	662	169	0
13811	641	175	662	202	0

#CARRY RIGHT & LEFT
13921	565	142	586	169	0
13922	590	142	611	169	0
13923	614	142	637	169	0

13911	565	175	586	202	0
13912	590	175	611	202	0
13913	614	175	637	202	0

#HIT RIGHT & LEFT
13951	192	175	215	202	0
13952	219	142	234	169	0
13953	192	142	215	169	0
13954	174	142	189	169	0

#MAP
13990	4	146	19	169	0
13991	23	146	38	169	0

#####  BIG ###############
#IDLE
11121	196	48	211	75	0
11111	196	78	211	105	0

#WALKING RIGHT
11222	213	48	230	75	0
11223	232	48	249	75	0

#WALKING LEFT
11212	213	78	230	105	0
11213	232	78	249	105	0

#RUNNING RIGHT
11321	289	48	308	75	0
11322	311	48	330	75	0
11323	334	48	353	75	0

#RUNNING LEFT
11311	289	78	308	105	0
11312	311	78	330	105	0
11313	334	78	353	105	0

#JUMP WALK RIGHT & LEFT
11417	270	48	287	75	0
11413	270	78	287	105	0
		
#JUMP RUN RIGHT & LEFT
11427	356	48	375	75	0
11423	356	78	375	105	0

#SIT RIGHT & LEFT 
11521	378	56	393	75	0
11511	378	86	393	105	0

#BRACE RIGHT & LEFT 
11621	251	46	268	75	0
11611	251	76	268	105	0

#KICK RIGHT & LEFT
11721	487	47	508	74	0
11711	487	77	508	104	0

#CARRY RIGHT & LEFT
11821	434	47	447	74	0
11822	450	47	465	74	0
11823	469	47	484	74	0

11811	434	77	447	104	0
11812	450	77	465	104	0
11813	469	77	484	104	0

#MAP
11900	159	53	174	74	0
11901	178	53	193	74	0

############ SMALL ################
 #IDLE
12121	253	8	266	25	0
12111	253	28	266	45	0

#WALK RIGHT
12222	253	8	266	25	0
12223	269	8	284	25	0

#WALK LEFT
12212	253	28	266	45	0
12213	269	28	284	45	0	

#RUN RIGHT
12321	321	8	338	25	0
12322	339	8	356	25	0
12323	321	8	338	25	0

#RUN LEFT
12311	321	28	338	45	0
12312	339	28	356	45	0
12313	321	28	338	45	0

#BRACE RIGHT & LEFT
12511	287	28	300	45	0
12521	287	8	300	25	0

#JUMP WALK RIGHT & LEFT 
12413	304	28	319	45	0
12417	304	8	319	25	0

#JUMP RUN RIGHT & LEFT 
12423	360	28	375	45	0
12427	360	8	375	25	0

#KICK RIGHT & LEFT
12620	470	8	485	23	0
12610	470	28	485	43	0

#CARRY RIGHT & LEFT
12720	435	8	448	23	0
12721	452	8	467	23	0	

12710	435	28	448	43	0
12711	451	28	466	43	0

#DIE
13001	416	8	431	25	0

#MAP
12800	220	8	233	23	0
12801	237	8	250	23	0

# ani_id	sprite1_id	time1	sprite2_id	time2	...
[ANIMATIONS]
400	11121	100
401	11111	100

#WALKING RIGHT & LEFT 
500	11121	100	11222	100	11223	100
501	11111	100	11212	100	11213	100

#RUNNING RIGHT & LEFT
600	11321	50	11322	50	11323	50
601	11311	50	11312	50	11313	50

#JUMP WALK
700	11417	100
701	11413	100

#JUMP RUN
800	11427	100
801	11423	100

#SIT RIGHT & LEFT 
900	11521	100
901	11511	100

#BRACE RIGHT & LEFT 
1000	11621	100
1001	11611	100

#DIE
999	13001	100

#KICK RIGHT & LEFT
40000	11721	100
40001	11711	100

#CARRY RIGHT & LEFT
42000	11821	100	11822	100	11823	100
42001	11811	100	11812	100	11813	100

#IDLE CARRY RIGHT & LEFT
41000	11821	100
41001	11811	100

#MAP
43000	11900	200	11901	200

################### SMALL #################
1100	12121	100
1102	12111	100

#WALK LEFT & RIGHT 
1200	12121	100	12222	100	12223	100
1201	12111	100	12212	100	12213	100

#RUN LEFT & RIGHT
1300	12321	100	12322	100	12323	100
1301	12311	100	12312	100	12313	100

#BRACE LEFT & RIGHT
1401	12511	100
1400	12521	100

#JUMP WALK
1500	12417	100
1501	12413	100

#JUMP RUN 
1601	12423	100
1600	12427	100

#KICK LEFT & RIGHT
1700	12610	100
1701	12620	100

#CARRY LEFT & RIGHT
1800	12710	100	12711	100
1801	12720	100	12721	100
1803	12710	100
1802	12720	100

#MAP
1900	12800	200	12801	200

##################
# TAIL
# IDLE RIGHT & LEFT
20000	13121	100
20001	13111	100

# WALK RIGHT & LEFT
21000	13121	100	13222	100	13223	100
21001	13111	100	13212	100	13213	100

# RUN RIGHT & LEFT
22000	13321	100	13322	100	13323	100
22001	13311	100	13312	100	13313	100

# JUMP WALK RIGHT & LEFT
23000	13417	100
23001	13413	100

# JUMP RUN RIGHT & LEFT
24000	13427	100	13428	100	13429	100
24001	13423	100	13424	100	13425	100

# SIT RIGHT & LEFT
25000	13521	100
25001	13511	100

# BRACE RIGHT & LEFT
26000	13621	100
26001	13611	100

# LANDING RIGHT & LEFT
27000	13721	100	13722	100	13723	100
27001	13711	100	13712	100	13713	100


#KICK RIGHT & LEFT
300000	13821	100
300001	13811	100

#CARRY RIGHT & LEFT
320000	13921	100	13922	100	13923	100
320001	13911	100	13912	100	13913	100

#IDLE CARRY RIGHT & LEFT
310000	13921	100
310001	13911	100

#HIT RIGHT & LEFT 
330000	13951	100	13952	100	13953	100	13954	100	13121	100
330001	13953	100	13952	100	13951	100	13954	100	13111	100

#MAP
340000	13990	200	13991	200
