# id	left	top	right	bottom	texture_id
[SPRITES]
28000	0	192	287	239	30

#Numbers
29000	77	30	84	37	30
29001	87	30	94	37	30
29002	97	30	104	37	30
29003	107	30	114	37	30
29004	117	30	124	37	30
29005	127	30	134	37	30
29006	137	30	144	37	30
29007	147	30	154	37	30
29008	157	30	164	37	30
29009	167	30	174	37	30

#Speed & Fly
28100	18	172	25	179	30
28200	27	172	42	179	30
28300	188	165	203	180	30
28400	212	165	227	180	30	
28500	236	165	251	180	30

# ani_id	sprite1_id	time1	sprite2_id	time2	...
[ANIMATIONS]
260000	28000	100

250000	29000	100
250001	29001	100
250002	29002	100
250003	29003	100
250004	29004	100
250005	29005	100
250006	29006	100
250007	29007	100
250008	29008	100
250009	29009	100

250010	28100	100
250020	28200	100
250030	28300	100
250040	28400	100
250050	28500	100
